word,meaning_short,meaning_raw,tsl rank
postage,『郵便料金』,"『郵便料金』,郵送料",613
recreational,レクリエーションの,"レクリエーションの,気晴らしの,娯楽の",614
rehearse,(公演前に)…をけいこする,"(公演前に)…をけいこする,リハーサルをする / 〈俳優など〉にけいこをつける / 《文》…を詳しく述べる,物語る",615
removal,(…か,"(…か,…を)移動すること《+『of』+『名』》 / 移転,引っ越し / (…の)解任,免職(dismissal)《+『of』+『名』》",616
satisfactory,『満足を与える』,"『満足を与える』,満足な,申し分のない",617
seasonal,季節の,"季節の,季節的,季節ごとの",618
separately,分かれて;別々に,"分かれて;別々に,単独で",619
turnover,〈C〉(車などの)転覆,"〈C〉(車などの)転覆,転倒 / 〈U〉《しばしば a…》(一定期間内の)総取り引き高,売り上げ高 / 〈U〉《しばしば s…》(一定期間内の)補充労働者の総数(割合) / 〈U〉《しばしば a…》(一定期間内の)商品の回転率 / 〈C〉〈U〉(半円形または三角形の)折り重ねパイ",620
unnecessary,『必要のない』,"『必要のない』,無用の,よけいな",621
accordingly,『従って』,"『従って』,それだから,それゆえ(therefore) / 『それに応じて』,適宜に",622
apple,『リンゴ』;リンゴの木,『リンゴ』;リンゴの木,623
applicable,適用(応用)できる;(…に)適用できる《+『to』+『名』》,適用(応用)できる;(…に)適用できる《+『to』+『名』》,624
auction,〈C〉〈U〉『競売』,"〈C〉〈U〉『競売』,せり売り / 〈U〉=auction bridge / 〈物〉を競売にかける,せり売りする",625
balcony,『バルコニー』,"『バルコニー』,露台 / (劇場の)2階さじき",626
basement,地階,"地階,地下室",627
beforehand,前もって[の],"前もって[の],あらかじめ[の]",628
culinary,台所[用]の;料理[用]の,台所[用]の;料理[用]の,629
documentary,『文書の』,"『文書の』,文書に基づく,文書から成る / 『事実を扱った』,事実を伝える / (映画・テレビなどの)記録もの,実録,ドキュメンタリー",630
downturn,折り返し ,"折り返し / (景気などの)下降,下押し",631
earthquake,『地震』,『地震』,632
elegant,(人・服装・デザインなどが)『優雅な』,"(人・服装・デザインなどが)『優雅な』,上品な;(趣味・習慣などが)『風雅な』,高雅な / みごとな,すばらしい;要を得た,的確な",633
excessive,『度を越した』,"『度を越した』,過度の,極端な",634
generic,(生物分類上の)属(genus)の ,(生物分類上の)属(genus)の / ある種類(群)全体にあてはまる / (商品が)特定銘柄品でない / (文法で)総称的な,635
jazz,『ジャズ』 ,"『ジャズ』 / 《俗》大ぼら,大うそ,ナンセンス / 〈曲〉をジャズふうに演奏(編曲)する / 《俗》〈パーティーなど〉を活気づける,〈曲など〉を陽気にする《+『up』+『名』》",636
lifetime,『生涯』,"『生涯』,一生 / 一生の,終生の",637
massage,マッサージ,"マッサージ,あんま術 / …をマッサージする",638
maximize,最大化する,最大化する,639
mild,(人,"(人,人の気性・態度などが)『柔和な』,ものやわらかな,温和な / (程度・力・効果などが)『適度な』,ほどよい / (病気などが)そんなにひどくない,軽い / (気温が)おだやかな / (味・においが)強くない,ぴりぴりしない / マイルド(苦みの少ないビールの一種)",640
ongoing,進行中の,進行中の,641
periodically,定期的に,定期的に,642
pie,パイ ,パイ / =pi,643
plug,(穴・すきまなどをふさぐ)『栓』,"(穴・すきまなどをふさぐ)『栓』,くさび / (電気の)『差し込み』,プラグ / 《話》=spark plug / 消火栓(fireplug) / (一口分に切った)かみたばこ / 《話》(テレビ・ラジオの番組にはさんだ)宣伝,広告 / 《米俗》老いぼれ馬 / 〈穴・すきまなど〉を『ふさぐ』,にせんをする《+『up』+『名』,+『名』+『up』》 / …のプラグを差し込む《+『in』+『名,』+『名』+『in』》;(コンセントに)…のプラグを差し込む《+『名』+『into』+『名』》 / 《話》(…に)こつこつ(せっせと)取り組む《+『away』(『along』)『at』+『名』》",644
recruitment,新兵徴募,"新兵徴募,新会員募集;《古》補充,補強",645
referee,(スポーツ競技の)審判員,"(スポーツ競技の)審判員,レフェリー / 仲裁人,調停者 / …の審判をする / 審判をする",646
referral,〈U〉参照(照会,"〈U〉参照(照会,委託,言及)すること;〈C〉参照(照会,委託,言及)された人(事) / 〈C〉推薦された人",647
renown,(…で)『高名』,"(…で)『高名』,『名声』《+『for』+『名』》",648
runner,『走る人』,"『走る人』,競走者;(野球の)走者 / (昔の)使者,飛脚;使い走りする人;集金人 / (スケート・そりの)滑走部,すべり / (廊下・階段などに敷く)細長いじゅうたん / (細長い)テーブルセンター / (イチゴなどの)匍匐(ほふく)枝,つる",649
sock,『短い靴下』,"『短い靴下』,ソックス / (こぶしなどで)…を殴る,強打する / 強打 / まともに,じかに",650
spam,スパム(コンビーフに似た豚肉かん詰の商標名:アメリカ軍に占領された歴史の長い場所,スパム(コンビーフに似た豚肉かん詰の商標名:アメリカ軍に占領された歴史の長い場所、例えば沖縄・ハワイ・フィリピンなど、で郷土料理に採り入れられることが多い)・迷惑メール・迷惑メールを送る,651
surf,(海岸・岩に砕ける)寄せ波,"(海岸・岩に砕ける)寄せ波,岸打つ波 / (砕ける波の)白いあわ / 波乗りをする,サーフィンする / 投げ釣りの",652
timetable,時間表,"時間表,時間割り;(鉄道の)時刻表 / (…のために)…の計画表(時間割り)を作る《+名+for+名》;(…するように)…の計画表を作る《+名+to do》",653
vase,『花びん』;(装飾用の)つぼ,『花びん』;(装飾用の)つぼ,654
aboard,(船・航空機・列車などに)乗って ,(船・航空機・列車などに)乗って / (船・航空機・列車など)の中へ(に),655
advancement,〈U〉〈C〉進歩,"〈U〉〈C〉進歩,発達(advance) / 〈U〉(…の)促進,振興《+『of』+『名』》 / 〈U〉(…への)昇進,進級《+『to』+『名』》",656
advertiser,広告者,"広告者,広告主",657
alternatively,あるいは、代わりに,あるいは、代わりに,658
amuse,(…で)〈人,"(…で)〈人,自分自身〉を『楽しませる』,おかしがらせる《+『名』+『with』+『名』,+『名』+『by』 do『ing』》",659
attorney,《米》=lawyer ,《米》=lawyer / 代理人,660
authorization,権限を与えること,"権限を与えること,委任;許可すること",661
campus,(大学などの)『構内』,"(大学などの)『構内』,キャンパス;学園 / 《米》(大学の)分校",662
candy,《米》『砂糖菓子』,"《米》『砂糖菓子』,キャンデー(《英》sweets) / 《英》氷砂糖(sugar candy) / …を砂糖づけにする 砂糖で煮る / (煮つめて)…を結晶させる / …を甘くする / 氷砂糖状に固まる",663
certify,…を証明する,"…を証明する,保証する,確認する / (…を)保証する《+『to』+『名』》",664
checkout,(セルフサービスの店の)精算所 ,(セルフサービスの店の)精算所 / チェックアウト(泊り客がホテルの部屋をあけること;その時刻),665
chemistry,『化学』 ,"『化学』 / 化学的性質,化学反応,化学作用",666
circulation,〈U〉『血液の循環』,"〈U〉『血液の循環』,血行 / 〈U〉(貨幣の)流通;(情報・うわさなどの)流布伝達;(新聞・雑誌など,印刷物の)配布 / 〈C〉(新聞・雑誌などの)発行部数",667
concierge,ホテルのフロントスタッフ〈C〉,ホテルのフロントスタッフ〈C〉,668
consent,(…に)『同意する』,"(…に)『同意する』,承諾する《+『to』+『名』(do『ing』)》 / …に同意する,賛成する / 『同意』,承諾,許可",669
consistently,一貫して;矛盾なく,"一貫して;矛盾なく,きまって",670
cookie,クッキー,クッキー,671
deck,『デッキ,"『デッキ,甲板』 / デッキ状の部分(バス・電車の床,トラックの荷台,電気装置の配置台など) / 《おもに米》(カードの)1組(《英》pack) / 《話》地面 / (…で)…を飾る,装飾する《+『out』+『名』+『with』+『名』》 / (…で)…を美しくする,めかす《+『out』+『名』+『in』+『名』》",672
descriptive,記述的な,"記述的な,叙述的な,説明的な;(…を)記述(説明)している《+『of』+『名』》 / 詳しく述べられた",673
detach,(…から)…を引き離す,"(…から)…を引き離す,分離する,取り外す《+『名』+『from』+『名』》 / (特別任務に)〈部隊・軍艦など〉を派遣する,分遣する",674
documentation,文書調べ,"文書調べ,文書による証拠固め / 資料,証拠書類",675
entrepreneur,企業家 ,企業家 / 興行主(《米》producer),676
exceptional,『例外の』,"『例外の』,まれな / 非常にすぐれた",677
familiarize,慣れさせる、習熟させる,慣れさせる、習熟させる,678
hotline,(政府首脳間の)緊急直通電話線;《the hot line》米露首脳間の専用直通回路,(政府首脳間の)緊急直通電話線;《the hot line》米露首脳間の専用直通回路,679
intonation,(声の)抑揚,"(声の)抑揚,音調 / 詠唱,吟唱",680
invention,〈U〉(…の)『発明』《+『of』+『名』》 ,"〈U〉(…の)『発明』《+『of』+『名』》 / 〈C〉『発明品』 / 〈U〉〈C〉『作り事』,でっち上げ / 〈U〉発明の才[のあること]",681
irritate,…を『怒らせる』,"…を『怒らせる』,『いらだたせる』 / …を刺激する;…に炎症を起こさせる",682
locker,ロッカー,"ロッカー,錠つき戸だな",683
overlook,…を『見落とす』,"…を『見落とす』,見逃す / …を『大目に見る』,に目をつぶる / 〈人が〉…を『見おろす』 / 〈場所が〉…を『見渡せる』,見おろす",684
patent,『特許』,"『特許』,特許権,パテント / 『専売特許品』,特許となっている製法 / 専売特許証 / (一般に特権などを授ける)公式証書 / 《名詞の前にのみ用いて》専売特許の / 《名詞の前にのみ用いて》《英話》賢い,独特な,まねのできない / 明白な / …の特許[権]を取る / …に特許[権]を与える",685
payable,(金を払っても)採算のとれる ,(金を払っても)採算のとれる / 《補語にのみ用いて》(…に)支払われるべき《+『to』+『名』》,686
preliminary,『準備する』,"『準備する』,『予備の』;前置きの / 《通例複数形で》準備の処置,予備行動,下準備 / 予備試験;前座試合;予選",687
salesman,(通例腕ききの)『男子店員』,"(通例腕ききの)『男子店員』,販売係 / セールスマン,男子外交販売員",688
sauna,(フィンランドの)蒸しぶろ ,(フィンランドの)蒸しぶろ / サウナぶろ(浴場),689
smoothly,(またsmooth)滑らかに,"(またsmooth)滑らかに,円滑に;平隠に",690
sunshine,『日光』 ,"『日光』 / 日なた / (物事の)『明るさ』,陽気,快活",691
tow,(ロープや鎖で)〈自動車など〉を引く,"(ロープや鎖で)〈自動車など〉を引く,引っ張って行く / 〈C〉引くこと;〈U〉引かれている状態 / 〈C〉引かれて行く車(船) / (ロープを作るのに使う)麻くず",692
translator,(特に専門の)翻訳者,"(特に専門の)翻訳者,翻訳家",693
tuition,(大学・私立学校などの)授業料 ,"(大学・私立学校などの)授業料 / 授業,教授",694
unavailable,利用できない,利用できない,695
violation,(約束・法律などの)違反,"(約束・法律などの)違反,無視《+of+名》 / 《おもに文》(静けさなどを)乱すこと;(権利などの)侵害 / 不敬,冒瀆 / 《文》暴行",696
webpage,ウェブページ,ウェブページ,697
acceptance,〈U〉受け取ること,"〈U〉受け取ること,認めること,受け入れられていること;同意 / 〈U〉(手形の)引受け;〈C〉引受済み手形",698
allocate,(…に)…を配分する,"(…に)…を配分する,割り当てる《+『名』+『to』(『for』)+『名』》",699
ambitious,『大望を抱いた』,"『大望を抱いた』,野心のある,大志を抱いた / (仕事・計画などが)野心的な,大がかりな;(悪い意味で)大げさな,高望みの",700
appendix,(本・論文などの)付録,"(本・論文などの)付録,補遺,追加 / 虫様突起",701
booth,(木の枝・帆布などでできた)仮小屋 ,"(木の枝・帆布などでできた)仮小屋 / 売店,屋台店 / (特定の用途のための)小さく仕切った部屋,ブース / (喫茶店などの)ボックス,仕切席",702
clarify,…を明らかにする,"…を明らかにする,理解しやすくする / 〈液体・空気など〉を澄ませる,浄化する / 〈思想・意味などが〉分かりやすくなる,明解になる / 澄む,透明になる",703
classmate,『級友』,"『級友』,同級生",704
compile,〈資料など〉をまとめる ,〈資料など〉をまとめる / 〈辞書など〉を編集する,705
correction,〈U〉『訂正』,"〈U〉『訂正』,修正,調整 / 〈C〉訂正箇所,訂正の書き入れ / 〈U〉(よくするための)処罰,叱責(しっせき)",706
customize,特注で作る、カスタマイズする,特注で作る、カスタマイズする,707
dedication,〈U〉奉納,"〈U〉奉納,献納 / 〈U〉献身,専念 / 〈C〉献呈の辞",708
diagnose,〈病気〉を診断する,〈病気〉を診断する,709
discontinue,〈続けていること〉をやめる,"〈続けていること〉をやめる,停止する,中止する / 中止になる",710
dishwasher,(食堂の)皿洗い[人] ,(食堂の)皿洗い[人] / [自動]皿洗い機,711
drought,『干ばつ』,"『干ばつ』,日照り続き",712
economize,節約する,節約する,713
entrée,メインディッシュ、入場,メインディッシュ、入場,714
firework,花火;花火大会 ,花火;花火大会 / (怒りなどの)爆発,715
freight,〈U〉貨物運送 ,"〈U〉貨物運送 / 〈U〉運送料,運賃《米》運賃先払い(《英》carriage forward) / 〈U〉[運送]貨物,積み荷 / (また『freight train』)〈C〉《米》貨物列車(《英》goods train) / 〈船・貨車〉に(…の)貨物を積む《+『名』+『with』+『名』》 / (貨物として)…を運送する",716
fry,…を『油で揚げる』,"…を『油で揚げる』,油でいためる / 揚げ物になる,揚がる / 《話》(日光浴などして)焼く,日焼けする / (野外で行う)揚げ物の会食 / 幼魚,稚魚",717
gallon,ガロン(液量の単位;《米》3.7853リットル;《英》4.546リットル),ガロン(液量の単位;《米》3.7853リットル;《英》4.546リットル),718
gardener,『植木屋』,"『植木屋』,庭師,園丁",719
ideally,理想的に,"理想的に,申し分なく / 観念的に",720
inclusive,『全部を含んだ』,"『全部を含んだ』,包括的な / 《数詞などの後に用いて》(勘定などに)含めて,入れて(《略》『incl.』)",721
insufficient,不十分な,"不十分な,不適当な",722
introductory,紹介の;前置の;序文の,紹介の;前置の;序文の,723
junk,廃品,"廃品,くず(古材・古鉄・古紙・ぼろなど) / 《話》(一般に)値打ちのないもの;がらくた(rubbish) / 《俗》ヘロイン / (廃品として)…を捨てる / ジャンク(中国の平底帆船)",724
ma'am,《話》『奥様』,"《話》『奥様』,先生 / 《英》女王様,王女様,奥方様",725
mileage,《時にa ~》(一定期間に走った)総マイル数 ,《時にa ~》(一定期間に走った)総マイル数 / 《時にa ~》(一定量の燃料による)自動車走行マイル数 / 《時にa ~》マイル当たりの費用 / 《話》使用[量];利益,726
noisy,(人・声などが)『やかましい』,"(人・声などが)『やかましい』,騒々しい,(場所が)騒音に満ちている",727
pan,(通例ふたのない片柄の)『平なべ』 ,"(通例ふたのない片柄の)『平なべ』 / 平なべ状の物;(はかりなどの)皿;(砂金などを砂利から分ける)選鉱なべ / 硬質地層 / …を平なべで煮る / 〈砂金など〉をえり分ける,選鉱する《+『off』(『out』)+『名,』+『名』+『off』(『out』)》 / 《話》…をこきおろす,酷評する / (…を得るために)選鉱なべで洗う《+『for』+『名』》 / (映画・テレビで,全景を写すために)〈カメラ〉を上下(左右)に動かす,パンする / カメラを上下(左右)に動かして撮る,パンする",728
parcel,(…の)『包み』,"(…の)『包み』,『小包』,小荷物《+『of』+『名』》 / 《米》(地面などの)区画 / 《しばしば軽べつして》《a~》(同類の人・輩の)群れ《+『of』+『名』》 / 〈土地など〉を区画に分ける,分割する《+『out』+『名』,+『名』+『out』》 / …を包みにする《+『up』+『名』,+『名』+『up』》",729
pasta,パスタ(マカロニやスパゲティの類),パスタ(マカロニやスパゲティの類),730
periodical,=periodic ,"=periodic / 定期刊行の / (月刊などの)『定期刊行物』,雑誌",731
pill,『丸薬』;《the pill》《話》ピル(経口避妊薬) ,"『丸薬』;《the pill》《話》ピル(経口避妊薬) / (耐えなければならない)不快なこと,苦しいこと / 《通例単数形で》《俗》いやなやつ",732
portable,『持ち運びのできる』,"『持ち運びのできる』,携帯用の / 携帯用器具,ポータブル(タイプ・ラジオなど)",733
punctual,『時間』(『期限』)『を守る』,"『時間』(『期限』)『を守る』,時間どおりの",734
recreation,作り直し;〈C〉作り直したもの ,"作り直し;〈C〉作り直したもの / 『レクリエーション』,気晴らし,娯楽",735
relieve,〈物事が〉〈苦痛・悩みなど〉を『和らげる』,"〈物事が〉〈苦痛・悩みなど〉を『和らげる』,『軽減する』 / 〈物事が〉〈人〉の苦痛(悩み)を軽くする,をほっとさせる,安心させる / 〈困っている人〉を『救済する』;〈被災地〉を救援する / (職務などから)〈人〉を交替させる,解雇する《+『名』+『of』+『名』》 / (重い物・大変なものを)〈人〉から取り除く,取り上げる《+『名』〈人〉+『of』+『名』》 / 〈単調なもの〉に変化を与える / 〈物事〉をきわ立たせる,引立てせる",736
reminder,思い出させる人(もの);(思い出させるための)助言;催促状,思い出させる人(もの);(思い出させるための)助言;催促状,737
rumor,噂,噂,738
scarf,『スカーフ』,"『スカーフ』,えり巻き / 《米》掛け布;テーブル掛け,ピアノ掛けなど",739
seaside,『海岸』,"『海岸』,海辺 / 海辺の",740
shorten,…を『短くする』,"…を『短くする』,縮める / 〈ケーキなど〉にショートニングを加えてさくさくさせる / 短くなる",741
specially,(比較変化なし)『特に』,"(比較変化なし)『特に』,わざわざ / (普通ではなく)特別に / 並みはずれて,きわだって",742
spill,(特に,"(特に,うっかりして)〈液体・粉など〉を『こぼす』 / 《しばしば受動態で》《おもに文》(人を傷つけて)〈血〉を流す / 〈馬・車などが〉〈人など〉をほうり出す,振り落す / 《話》〈秘密など〉をもらす;(…に)…をもらす《+『名』+『to』+『名』》 / 〈液体・粉などが〉『こぼれる』,流れ出る / こぼれること,こぼすこと / こぼれたもの / 落ちること;落馬 / (点火用の)付け木,こより",743
spouse,配偶者,"配偶者,夫,妻",744
subtract,(数字などについて)(…から)…を『引く』,"(数字などについて)(…から)…を『引く』,減じる《+名+from+名》 / 引き算をする",745
tablet,(銘文などを彫り込む,"(銘文などを彫り込む,金属・石の)銘板 / (昔文字を記した粘土などの)書字板 / 《まれ》(はぎ取り式の)メモ帳,便せん帳(pad) / 錠剤,(チョコレート・石けんなどの)板状小片",746
ton,(重量単位の)『トン』 ,"(重量単位の)『トン』 / (容積単位の)トン(物によって異なり,木材では40立方フィート,小麦では20立方フィート) / 《話》大量(の…),多数(の…)《+of+名》",747
vend,(特に)〈小さな品物〉を売る,"(特に)〈小さな品物〉を売る,行商する / (法律で)〈土地など〉を売却する",748
yoga,ヨガ[の行](黙想的修行),ヨガ[の行](黙想的修行),749
accent,〈C〉〈U〉『アクセント』,"〈C〉〈U〉『アクセント』,『強勢』;アクセント記号 / 〈C〉(言葉の)なまり / 《複数形で》『口調』,音調(tone) / 〈C〉〈U〉強調,重視 / …にアクセントをおく;…にアクセント符号をつける / …を強調する,目立たせる",750
advisory,勧告の,"勧告の,忠告の;諮問の",751
asleep,『眠って』;永眠して ,『眠って』;永眠して / 〈手足などが〉しびれて,752
authentic,信頼できる,"信頼できる,確かな / 本物の,ほんとうの;模写ではない",753
bakery,パン製造所,"パン製造所,パン屋",754
carton,カートン,"カートン,段ボールの箱;カートン1杯(の…)《+『of』+『名』》",755
compartment,区画,"区画,仕切り / (客車の)個室;(船の)隔室",756
compatible,(…と)両立できる,"(…と)両立できる,矛盾のない《+『with』+『名』》",757
consumption,『消費』《時に形容詞を伴ってa~》(…の)消費高(量) ,"『消費』《時に形容詞を伴ってa~》(…の)消費高(量) / (体力の)消耗 / 《古》肺病,肺結核",758
conveniently,『都合よく』,"『都合よく』,便利に",759
cosmetic,(口紅・クリーム・整髪料などの)化粧品 ,(口紅・クリーム・整髪料などの)化粧品 / 化粧用の / あら隠しの,760
courtesy,〈U〉『礼儀』,"〈U〉『礼儀』,丁重,丁寧さ / 〈C〉丁重な行い(言葉),親切な行い(言葉)",761
creativity,独創性,独創性,762
disagreement,〈U〉(…間の)不一致,"〈U〉(…間の)不一致,不調和《+between+『名』》 / 〈C〉(…の間の)意見の相違;争い,不和《+between+『名』》",763
disappointment,〈U〉『失望』,"〈U〉『失望』,落胆,期待はずれ / 〈C〉失望の原因となる物(事,人),期待に反する物(事,人)",764
dissatisfy,〈人〉に不満を抱かせる,〈人〉に不満を抱かせる,765
enjoyable,おもしろい,"おもしろい,愉快な,楽しめる",766
faculty,〈C〉(…の)『才能』,"〈C〉(…の)『才能』,能力《+『for』(『of』)+『名』(do『ing』)》 / 〈C〉(身体器官の)『機能』(function);(精神的)能力・〈C〉(大学の)『学部』 / (大学の学部の)『教授団』・(大学の)全教職員",767
favorable,好意的な、有利な,好意的な、有利な,768
foreman,(工場などの)職長,"(工場などの)職長,(建設工事などの)監督 / 陪審長",769
forum,《the Forum》(古代ローマの)大広場,"《the Forum》(古代ローマの)大広場,市場(商業取引や裁判・政治などの集会所として用いられた) / 〈C〉(公開討論・批判などの)広場,フォーラム / 〈C〉討論会",770
founder,創設者,"創設者,設立者 / 〈船が〉(浸水により)沈没する / 〈計画・事業などが〉失敗する,つぶれる / 〈馬が〉過労で倒れる / 鋳物(いもの)師",771
fundraise,資金を集める,資金を集める,772
graphics,《単数扱い》製図法 ,《単数扱い》製図法 / 《複数扱い》=graphic arts,773
handy,『取り扱いに便利な』,"『取り扱いに便利な』,手ごろな,重宝な / 《話》すぐ手元の,すぐ使える(at hand) / (人が)『器用な』,手先の達者な;(…を)巧みに使う《+『at』(『about, with』)+『名』》",774
hazardous,冒険的な,"冒険的な,危険な",775
healthcare,医療、健康管理,医療、健康管理,776
humidity,湿気,"湿気,湿度",777
influential,『有力な』,"『有力な』,影響を及ばす;勢力のある",778
nationwide,全国的な,全国的な,779
pad,(衝撃・摩擦などを防ぐ)『当て物』,"(衝撃・摩擦などを防ぐ)『当て物』,クッション,詰め物;(洋服の肩などの)パッド,(球技用の)胸当て:すね当て;(いすなどの)敷き物 / はぎ取り式の帳面,用紙つづり / (また『inkpad』)スタンプ台,インク台 / (犬・ウサギなどの)足裏の柔らかいふくらみの部分 / (スイレンなどの)大きな浮き葉 / (ロケットなどの)発射台(launching pad) / 《俗》(自分が住む)部屋,家 / 《俗》《the pad》わいろ / (…で)…に『当て物をする』,詰め物をする,パッドを入れる《+『名』+『with』+『名』》 / (不必要な文句を入れて)〈文など〉を引き延ばす《+『out』+『名』+『with』+『名』》 / (費用などを)〈帳簿など〉に水増しして記帳する《+『名』+『with』+『名』》 / 足音を立てずに歩く / (足音などの)静かな音",780
paraphrase,(原文を)別の言葉で置き換えること,"(原文を)別の言葉で置き換えること,言い換え / (説明するために)〈文章・語句など〉を言い換える,やさしい言葉に置き換える",781
placement,置くこと,"置くこと,配置 / 職業紹介 / (アメリカンフットボールで)プレースキックのためボールを地に置くこと",782
postal,『郵便の』,『郵便の』,783
publicity,『広く知られていること』,"『広く知られていること』,周知;評判 / (…についての)宣伝,広報《+『about』+『名』》;(…の)広報《+『for』+『名』》",784
renter,〈C〉賃借人,"〈C〉賃借人,借地人 / (まれに米南部の古風な用法で貸し手)",785
repairperson,修理人,修理人,786
repeatedly,繰り返して,"繰り返して,再三再四",787
restroom,(公共施設の)手洗所,(公共施設の)手洗所,788
silently,『静かに』 ,『静かに』 / 『黙って』,789
spa,鉱泉,"鉱泉,温泉 / 温泉場",790
spreadsheet,表計算ソフト,表計算ソフト,791
stapler,製本機,"製本機,針金つづり機,ホッチキス",792
streamline,…を流線型にする ,…を流線型にする / を近代化(能率化)する,793
substantially,概して,"概して,本質的に / 十分に,豊富に",794
teller,話し手,"話し手,語り手 / 《おもに米》(銀行の)現金出納係 / (議会の)投票集計係",795
tidy,『きちんとした』,"『きちんとした』,整然とした;(人・動物などが)きれい好きな,自分をきれいにしている / 《話》かなりの / …をきちんとする,整とんする《+名+up,+up+名》 / かたづける,整とんする《+up》",796
toll,〈鐘が〉(にっくり規則的に繰り返して)鳴る ,"〈鐘が〉(にっくり規則的に繰り返して)鳴る / (ゆっくり規則的に繰り返して)〈鐘〉を鳴らす / 〈鐘が〉…を知らせる / 鐘を鳴らすこと / 鐘の音 / (橋・道路などの)『使用[通行]料金』,使用税 / (長距離電話などの)『料金』,サービス料 / 《通例単数形で》(災難などの)被害の程度,犠牲(死傷)負数",797
toner,トナー,トナー,798
urgently,至急、緊急に,至急、緊急に,799
walkway,(玄関から通りまで,"(玄関から通りまで,また工場内などの)歩行者用通路",800
absorb,〈液体〉を『吸収する』,"〈液体〉を『吸収する』,吸い込む / 〈光・音・熱・エネルギーなど〉を吸収する / 〈思想など〉を取り入れる / 〈国・町・村など〉を併合する;(…に)…を併合する《+『名』+『into』+『名』》 / 〈心・注意・時間〉を『すっかり奪う』",801
administer,…を管理する ,…を管理する / (薬・援助など)を与える / (罰・非難など)を加える / …を施行する,802
ample,広い,"広い,広々とした / 《数えられない名詞・複数名詞の前に用いて》『十分な』(enough),あり余るほどたくさんの(abundant) / ふくよかな,豊満な(full)",803
antique,(物・形が)古風な,"(物・形が)古風な,旧式の,時代遅れの(old-fashioned) / 古い時代の,古来の / 〈C〉古物,古器,骨董(こっとう)品 / 《the ~》古代美術,古代様式",804
bean,『豆』(おもにいんげん豆・そら豆など大きめの豆類) ,『豆』(おもにいんげん豆・そら豆など大きめの豆類) / 豆のさや(pod) / 豆に似た実 / 《俗》頭 / 《俗》(野球で)ビーンボールを投げる,805
browse,《副詞[句]を伴って》漫然とながめる,"《副詞[句]を伴って》漫然とながめる,ざっと目を通す / 〈牛・シカなどが〉若葉(新芽)を食べる,草を食べる / …に若葉(新芽)を食べさせる;〈若葉・新芽〉を食べる / (牛・シカなどが食べる)草,細枝,新芽",806
bye,二の次の事(物) ,"二の次の事(物) / 付随的な,副次的な / バイ(クリケットで打者が打たない球が守備者を通り越した場合の得点)",807
careless,(人が)『不注意な』,"(人が)『不注意な』,軽率な / 《補語にのみ用いて》(…に)『無とんじゃくな』,無関心な,(…を)気にしない《+『of』+『名』(『wh-節』)》 / 《名詞の前にのみ用いて》(仕事などが)『不注意な』,不用意な",808
collector,(…の)収集家,"(…の)収集家,採集者《+『of』+『名』》 / (…の)集金人,取り立て人;徴税官;(一般に)(…を)集める人《+『of』+『名』》",809
conform,(慣例・規範などに)『従って行動する』(『考える』)《+『to』(『with』)+『名』》・〈物事が〉(…と)一致する,"(慣例・規範などに)『従って行動する』(『考える』)《+『to』(『with』)+『名』》・〈物事が〉(…と)一致する,符合する《+『to』+『名』》・(…に)…を一致させる,適応させる《+『名』+『to』+『名』》",810
congestion,(人・貨物などの)密集,"(人・貨物などの)密集,充満;混雑,雑踏・うっ血,充血",811
contradiction,否定,"否定,反ばく / 矛盾",812
contrary,『反対の』,"『反対の』,相いれない / 逆の,逆方向の;意に反した / 《話》ひねくれた,強情な,意地の悪い(perverse) / 〈C〉 / 《the~》『正反対』; / 《しばしば複数形で》相反するもの;相反する性質 / (…の)反対に,逆に,(…に)反して《+『to』+『名』〈事〉,+『with』+『名』〈人〉》",813
diploma,(大学・専門学校などの)卒業証書,"(大学・専門学校などの)卒業証書,修了証書 / (一般に)免許状,特許状,賞状 / 《複数形で》古文書",814
distributor,分配する人(物),"分配する人(物),配分者 / 販売会社,販売者;(特に)卸売り業者 / (エンジンの)配電器",815
dive,(…から水中などに)『頭から飛び込む』《+『from』(『off』)+『名』+『into』(『in』)+『名』》 ,"(…から水中などに)『頭から飛び込む』《+『from』(『off』)+『名』+『into』(『in』)+『名』》 / (…を取ろうと)『潜る』,潜水する《+『down for』+『名』》 / (…へ向かって)急降下する,急潜航する《+『down toward』+『名』》 / (…に)駆け込む,逃げ込む《+『into』+『名』》 / (…に)手を突っ込む《+『in』(『into』)+『名』》 / (仕事・問題などに)飛び込む《+『in』(『into』)+『名』》 / …を急降下させる,急潜航させる / 『飛び込み』 / (飛行機の)急降下;(潜水艦・潜水夫などの)急潜航 / 《話》怪しげなナイトクラブ,いんちき酒場",816
energetic,『精力的な』,"『精力的な』,元気旺盛な",817
environmentally,環境的に,環境的に,818
escalator,『エスカレーター』[もと商標名],『エスカレーター』[もと商標名],819
exotic,外来の,"外来の,外国産の / 異国ふうの;風変わりな",820
fabric,〈C〉〈U〉『織物』,"〈C〉〈U〉『織物』,編物 / 〈U〉織り方;織地 / 〈U〉構造,組織 / 〈U〉構造物,建造物",821
generalization,一般化,一般化,822
guidance,『指導』;『案内』;指揮 ,"『指導』;『案内』;指揮 / (児童・生徒の)指導,ガイダンス / (宇宙船・ミサイルなどの)誘導[装置]",823
