word,meaning_short,meaning_raw,tsl rank
preview,下見、プレビュー,下見、プレビュー,51
attendant,『付き添いの』;付随する ,"『付き添いの』;付随する / 出席の,列席している / 『付き添い人』,随行者,お供 / 出席者 / 案内係,(ホテル・店などの)従業員,店員",52
subscription,〈U〉(雑誌・切符などの)『予約』;(慈善事業などへの)寄付申込み《+to+名》 ,"〈U〉(雑誌・切符などの)『予約』;(慈善事業などへの)寄付申込み《+to+名》 / 〈C〉(…への)『寄付金』,〈U〉寄付《+to+名》 / 〈C〉(募金によって集められた)資金,寄金 / 〈C〉《話》署名",53
convenient,(物事が)『便利な』,"(物事が)『便利な』,使いやすい / 《補語にのみ用いて》(場所が)(…に)近い,近くて便利な《+『to』(『for』)+『名』》",54
manual,手でする,"手でする,手細工の / 便覧,手引き,案内書 / (オルガンの)けん盤",55
clue,(問題・なぞなどを解く)『手がかり』,"(問題・なぞなどを解く)『手がかり』,(研究などの)『糸口』,端緒;(話などの)筋道《+『to』+『名』》 / =ciew1 / =clew3 / 《『clue in』(『up』)+『名,clue』+『名』+『in』(『up』)》(…について)…に手掛かり(情報)を与える《+『about』(『on』)+『名』》",56
garage,(自動車の)『車庫』 ,(自動車の)『車庫』 / 自動車修理場 / 〈車〉を車庫に入れる(入れておく),57
obtain,(努力して)…を『得る』,"(努力して)…を『得る』,手に入れる / 《『obtain』+『名』〈人〉+『名』=『obtain』+『名』+『for』+『名』〈人〉》〈物事が〉〈人〉に…を得させる,もたらす / 《文》〈習慣・制度などが〉一般に実われている",58
oval,卵形の ,卵形の / 長円形の / 〈C〉卵形(長円形)のもの,59
inventory,〈C〉(商品・財産などの)目録《+『of』+『名』》 ,"〈C〉(商品・財産などの)目録《+『of』+『名』》 / 《集合的に》在庫品;資産 / 〈U〉在庫品調べ,たな卸し / 〈財産・商品など〉の目録を作る,品調べをする",60
outdoor,『戸外の』,"『戸外の』,野外の",61
suitcase,スーツケース,"スーツケース,(長方形で平たい)小型旅行かばん",62
destination,(旅行・航海などの)『目的地』,"(旅行・航海などの)『目的地』,行き先;(物の)『送付先』,到着地",63
occupation,〈C〉『職業』,"〈C〉『職業』,仕事 / 〈C〉時間の使い方 / 〈U〉(…を)『占有すること』,(軍隊が)(…を)占領すること《+『of』+『名』》",64
postpone,…を『延期する』,"…を『延期する』,延ばす",65
contradict,〈報道・人の言説など〉を否定する,"〈報道・人の言説など〉を否定する,反ばくする(deny) / 〈陳述が〉…と矛盾する,相反する / 反ばくする",66
umbrella,傘(かさ),"傘(かさ),こうもり傘,雨傘,日傘 / (一般に,傘状の)保護物,影響力",67
inference,〈U〉推量,"〈U〉推量,推論,推測 / 〈C〉推量の結果,結論",68
cellphone,携帯電話,携帯電話,69
compact,『ぎっしり詰まった』,"『ぎっしり詰まった』,目詰んだ,緊密な;(体格が)引き締まった / こぢんまりして経済的な,小さくまとまった / (文体などが)簡潔な / …をぎっしり詰める;…を圧縮する / コンパクト(鏡,おしろい,パフの携帯用ケース) / 中型自動車(compact car) / 契約,盟約 / (…と)契約する《+『with』+『名』》",70
merchandise,(集合的に)『商品』(goods) ,(集合的に)『商品』(goods) / …を売買する / (広告などをして)…の販売を促進する / 商売をする,71
receptionist,(ホテル・病院・事務所などの)受付係,(ホテル・病院・事務所などの)受付係,72
dentist,『歯科医』,"『歯科医』,歯医者",73
identification,〈U〉同一であることの確認(証明),"〈U〉同一であることの確認(証明),身元確認,身分証明 / 身分証明書",74
